model,mode,reference_source,corpus_wer,mean_wer,median_wer,std_wer,p90_wer,p95_wer,num_samples,num_empty_hyps,total_ref_words,total_errors
base,raw,Transcript,0.2786,0.2935,0.2459,0.2213,0.4933,0.6184,986,0,51755,14421
base,normalized,Normalised_Transcript,0.2132,0.223,0.1786,0.2141,0.4255,0.55,986,0,52331,11155
base,double_normalized,Normalised_Transcript,0.1788,0.1891,0.14,0.1746,0.381,0.5111,985,0,51798,9260
base,whisper_normalized,Transcript,0.1692,0.1837,0.1321,0.2111,0.3718,0.5,986,0,51815,8769
